ID,Path,Size,MimeType,AgeDays,Score,RetentionBand,TargetPath,Operation,Snippet,Ext
1tb7Hn_LeXFloPdM5WfnOIFv86SaXYYzp,1.Organize/Twister/dt/Screen Shot 2022-02-16 at 11.44.32 AM.png,89448,image/png,1480,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-16 at 11.44.32 AM.png,move,,.png
1zFrBPIpoOIcg26pIlz4hWV8yVgdBhmkC,1.Organize/Twister/Product /NEU Discovery Week 1 - Presentation.pptx,2218162,application/vnd.openxmlformats-officedocument.presentationml.presentation,1480,70.7,review,02-Review/Career & Past Work/Softvision/NEU Discovery Week 1 - Presentation.pptx,move,,.pptx
1XGkHlXK2Ok8DLMmcYwlXgBN0fwHFAVnX,1.Organize/Twister/Product /Remote Workshops - Miro.pptx,7895914,application/vnd.openxmlformats-officedocument.presentationml.presentation,1480,70.7,review,02-Review/Career & Past Work/Softvision/Remote Workshops - Miro.pptx,move,,.pptx
1oSnA3Df1JFxRRqO5Rj12fdZyR3l-KC7V,1.Organize/Twister/Product /Health and Wellness Platform Proposal 10-17.pptx,11263939,application/vnd.openxmlformats-officedocument.presentationml.presentation,1480,70.7,review,02-Review/Career & Past Work/Softvision/Health and Wellness Platform Proposal 10-17.pptx,move,,.pptx
1DcnWP_VTIn1ULjxmt_ud05RXbm7rPOA8,1.Organize/Twister/Product /Cognizant Discovery Example.pptx,50250325,application/vnd.openxmlformats-officedocument.presentationml.presentation,1480,70.7,review,02-Review/Career & Past Work/Softvision/Cognizant Discovery Example.pptx,move,,.pptx
1wSxNlY2Lekirm3fk6QxoafbF__qaPKXm,1.Organize/Twister/dt/Screen Shot 2022-02-16 at 9.24.17 AM.png,75075,image/png,1480,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-16 at 9.24.17 AM.png,move,,.png
1n_H9AXpG7vS0wHy7MkBqPWr5rZt4Zw3g,1.Organize/Twister/dt/Screen Shot 2022-02-16 at 9.27.35 AM.png,72392,image/png,1480,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-16 at 9.27.35 AM.png,move,,.png
1O0VuQxF_5QMSTCWa69cPhSW_YIGnjft2,1.Organize/Twister/dt/Screen Shot 2022-02-16 at 9.26.54 AM.png,39075,image/png,1480,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-16 at 9.26.54 AM.png,move,,.png
1f4TOAxr_1kq4wM9eMf8PiqviPCwNVnrQ,1.Organize/Twister/dt/Screen Shot 2022-02-16 at 9.26.09 AM.png,24936,image/png,1480,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-16 at 9.26.09 AM.png,move,,.png
1r-iecFLBwyTMUdntb9C_EI4i-mTMzRv5,1.Organize/Twister/Product /FIS Team Allocation and Roles - Jan 2021.xlsx,70971,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1480,70.7,review,02-Review/Career & Past Work/Softvision/FIS Team Allocation and Roles - Jan 2021.xlsx,move,,.xlsx
1pkUzkINeDcrYSLRjCA-P3danC5c_wrig,1.Organize/Twister/Product /Trizetto Discovery - Core Components.pptx,4105125,application/vnd.openxmlformats-officedocument.presentationml.presentation,1480,70.7,review,02-Review/Career & Past Work/Softvision/Trizetto Discovery - Core Components.pptx,move,,.pptx
1nribiMjO0zBg26v5jWcol7AE3-Fmk0M-,1.Organize/Twister/Product /Cognizant Softvision - Product Backlog Workshop Overview.pdf,361625,application/pdf,1480,70.7,review,02-Review/Career & Past Work/Softvision/Cognizant Softvision - Product Backlog Workshop Overview.pdf,move,,.pdf
1aoO6Nu0C36GOxpeifBd-wGYnAfHBL5pl,1.Organize/Twister/Product /Forrester Digital Product Development Services Wave.xlsx,32984,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1481,70.6,review,02-Review/Career & Past Work/Softvision/Forrester Digital Product Development Services Wave.xlsx,move,,.xlsx
1X3JnuCUhM9ReD0NcjUfzUmm1SAuoeVIl,1.Organize/Twister/Product /Re SAFe Certifications_Approval Email.msg,304640,application/msword,1481,50.6,review,02-Review/Career & Past Work/Softvision/Re SAFe Certifications_Approval Email.msg,move,,.msg
1o7LlR6A8UTgUhU1LftxAOYH_niD1u0JL,1.Organize/Twister/Product /Copy of CDE Product analyst.xlsx,105619,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1482,40.6,archive_candidate,03-Archive/Career & Past Work/Softvision/Copy of CDE Product analyst.xlsx,move,,.xlsx
